contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,type,retrieved_date,expiration
SPY250411C00486000,2025-04-11 15:31:54+00:00,486.0,37.05,39.89,40.1,-4.119999,-10.007284,75.0,282,1.0000000000000003e-05,True,REGULAR,USD,call,2025-04-11,2025-04-11
SPY250411C00487000,2025-04-11 15:49:10+00:00,487.0,39.25,38.88,39.09,1.8800011,5.0307765,89.0,282,1.0000000000000003e-05,True,REGULAR,USD,call,2025-04-11,2025-04-11
SPY250411C00488000,2025-04-11 15:27:15+00:00,488.0,34.14,38.03,38.19,-4.9400024,-12.640742,48.0,142,1.0000000000000003e-05,True,REGULAR,USD,call,2025-04-11,2025-04-11
SPY250411C00490000,2025-04-11 15:19:38+00:00,490.0,32.95,35.84,36.03,0.0,0.0,44.0,973,1.0000000000000003e-05,True,REGULAR,USD,call,2025-04-11,2025-04-11
SPY250411C00491000,2025-04-11 15:35:59+00:00,491.0,32.5,34.9,35.06,-1.1100006,-3.3025904,6.0,334,1.0000000000000003e-05,True,REGULAR,USD,call,2025-04-11,2025-04-11
SPY250411C00492000,2025-04-11 15:31:54+00:00,492.0,31.14,33.85,34.04,-3.5600014,-10.259369,48.0,247,1.0000000000000003e-05,True,REGULAR,USD,call,2025-04-11,2025-04-11
SPY250411C00493000,2025-04-11 15:06:32+00:00,493.0,29.5,32.92,33.08,1.0,3.508772,39.0,352,1.0000000000000003e-05,True,REGULAR,USD,call,2025-04-11,2025-04-11
SPY250411C00494000,2025-04-11 14:16:22+00:00,494.0,31.0,32.06,32.24,0.87999916,2.921644,31.0,473,1.0000000000000003e-05,True,REGULAR,USD,call,2025-04-11,2025-04-11
SPY250411C00495000,2025-04-11 15:36:29+00:00,495.0,30.73,31.15,31.31,-0.069999695,-0.22727174,32.0,944,1.0000000000000003e-05,True,REGULAR,USD,call,2025-04-11,2025-04-11
SPY250411C00496000,2025-04-11 15:38:24+00:00,496.0,28.48,30.02,30.18,-1.4700012,-4.908184,38.0,657,1.0000000000000003e-05,True,REGULAR,USD,call,2025-04-11,2025-04-11
SPY250411C00497000,2025-04-11 15:48:52+00:00,497.0,29.21,29.02,29.18,-0.25,-0.8486083,32.0,764,1.0000000000000003e-05,True,REGULAR,USD,call,2025-04-11,2025-04-11
SPY250411C00498000,2025-04-11 15:07:41+00:00,498.0,24.5,28.13,28.31,0.5100002,2.1258867,70.0,1244,1.0000000000000003e-05,True,REGULAR,USD,call,2025-04-11,2025-04-11
SPY250411C00499000,2025-04-11 15:37:45+00:00,499.0,26.0,27.23,27.4,-2.290001,-8.094736,58.0,791,1.0000000000000003e-05,True,REGULAR,USD,call,2025-04-11,2025-04-11
SPY250411C00500000,2025-04-11 15:50:02+00:00,500.0,26.13,26.09,26.26,-0.7400017,-2.7540069,840.0,7596,1.0000000000000003e-05,True,REGULAR,USD,call,2025-04-11,2025-04-11
SPY250411C00501000,2025-04-11 14:58:47+00:00,501.0,22.94,25.1,25.27,-0.22999954,-0.99266094,235.0,864,1.0000000000000003e-05,True,REGULAR,USD,call,2025-04-11,2025-04-11
SPY250411C00502000,2025-04-11 15:45:22+00:00,502.0,23.7,24.13,24.3,-0.5099983,-2.1065607,29.0,1054,1.0000000000000003e-05,True,REGULAR,USD,call,2025-04-11,2025-04-11
SPY250411C00503000,2025-04-11 15:28:09+00:00,503.0,20.41,23.16,23.31,-4.41,-17.76793,372.0,803,1.0000000000000003e-05,True,REGULAR,USD,call,2025-04-11,2025-04-11
SPY250411C00504000,2025-04-11 15:35:58+00:00,504.0,19.67,22.37,22.54,-4.24,-17.733166,301.0,1334,1.0000000000000003e-05,True,REGULAR,USD,call,2025-04-11,2025-04-11
SPY250411C00505000,2025-04-11 15:33:41+00:00,505.0,19.26,21.34,21.43,-3.1999989,-14.247546,261.0,4741,1.0000000000000003e-05,True,REGULAR,USD,call,2025-04-11,2025-04-11
SPY250411C00506000,2025-04-11 15:43:33+00:00,506.0,19.45,20.3,20.47,-2.1799984,-10.078588,102.0,1948,1.0000000000000003e-05,True,REGULAR,USD,call,2025-04-11,2025-04-11
SPY250411C00507000,2025-04-11 15:08:54+00:00,507.0,17.08,19.41,19.5,-3.1299992,-15.487379,303.0,680,1.0000000000000003e-05,True,REGULAR,USD,call,2025-04-11,2025-04-11
SPY250411C00508000,2025-04-11 15:43:10+00:00,508.0,17.82,18.46,18.62,-1.75,-8.942259,427.0,1323,1.0000000000000003e-05,True,REGULAR,USD,call,2025-04-11,2025-04-11
